viewer_id,type,name,title,url,layer_name,version,crs,format,tiled,opacity,visible,sort_order,layer_params
1,wms,bag_pand,BAG Pand,https://service.pdok.nl/lv/bag/wms/v2_0,pand,1.1.1,EPSG:3857,image/png,true,0.8,true,1,"{""TRANSPARENT"":""true""}"
1,wfs,bag_pand_wfs,BAG Pand (WFS),https://service.pdok.nl/lv/bag/wfs/v2_0,pand,2.0.0,EPSG:28992,application/json,false,1.0,false,2,"{}"
